SOURCE_FILE,MOIS_FICHIER,TOTAL_TRAJETS,VRAIES_ANOMALIES_PICKUP,ANOMALIES_DROPOFF_PASSE
yellow_tripdata_2024-02.parquet,2024-02,3007526,2,2
yellow_tripdata_2025-03.parquet,2025-03,4145257,2,12
yellow_tripdata_2024-01.parquet,2024-01,2964624,5,8
yellow_tripdata_2025-02.parquet,2025-02,3577543,0,11
yellow_tripdata_2025-07.parquet,2025-07,3898963,1,3
yellow_tripdata_2025-06.parquet,2025-06,4322960,0,7
yellow_tripdata_2026-01.parquet,2026-01,3724889,0,2
yellow_tripdata_2025-05.parquet,2025-05,4591845,1,9
yellow_tripdata_2024-05.parquet,2024-05,3723833,7,7
yellow_tripdata_2025-04.parquet,2025-04,3970553,0,1
yellow_tripdata_2025-10.parquet,2025-10,4428699,0,2
yellow_tripdata_2026-02.parquet,2026-02,3399866,0,2
yellow_tripdata_2024-10.parquet,2024-10,3833771,1,4
yellow_tripdata_2024-07.parquet,2024-07,3076903,3,6
yellow_tripdata_2025-01.parquet,2025-01,3475226,0,13
yellow_tripdata_2025-09.parquet,2025-09,4251015,0,1
yellow_tripdata_2025-12.parquet,2025-12,4305006,0,4
yellow_tripdata_2026-04.parquet,2026-04,3800664,4,4
yellow_tripdata_2024-08.parquet,2024-08,2979183,2,5
yellow_tripdata_2024-04.parquet,2024-04,3514289,4,5
yellow_tripdata_2024-12.parquet,2024-12,3668371,3,10
yellow_tripdata_2025-08.parquet,2025-08,3574091,1,2
yellow_tripdata_2025-11.parquet,2025-11,4181444,3,6
yellow_tripdata_2024-09.parquet,2024-09,3633030,3,11
yellow_tripdata_2026-03.parquet,2026-03,3952451,2,5
yellow_tripdata_2024-06.parquet,2024-06,3539193,4,21
yellow_tripdata_2024-11.parquet,2024-11,3646369,3,11
yellow_tripdata_2024-03.parquet,2024-03,3582628,2,5
