SOURCE_FILE,TOTAL_TRAJETS,NB_PRIX_NEGATIFS,PIRE_PRIX_NEGATIF,NB_PRIX_ZERO,NB_PRIX_EXORBITANTS,PRIX_LE_PLUS_ELEVE_TROUVE
yellow_tripdata_2025-03.parquet,4145257,68686,-1000,601,73,46269.44
yellow_tripdata_2025-08.parquet,3574091,87940,-1151.23,518,148,2123.44
yellow_tripdata_2024-06.parquet,3539193,48795,-1315.97,316,71,12903.4
yellow_tripdata_2025-07.parquet,3898963,76455,-1634.75,583,124,5297.87
yellow_tripdata_2024-09.parquet,3633030,56109,-1000,431,80,1886.02
yellow_tripdata_2025-02.parquet,3577543,55179,-1832.85,442,67,132555.41
yellow_tripdata_2024-10.parquet,3833771,61426,-901,432,53,1690.89
yellow_tripdata_2024-01.parquet,2964624,35504,-900,416,62,5000
yellow_tripdata_2026-03.parquet,3952451,21305,-1022.46,584,80,1850.55
yellow_tripdata_2025-11.parquet,4181444,126919,-1514.45,518,106,1514.45
yellow_tripdata_2024-02.parquet,3007526,36080,-1000,438,55,9792
yellow_tripdata_2025-09.parquet,4251015,78492,-1002.25,617,105,323820.17
yellow_tripdata_2025-06.parquet,4322960,74257,-994.25,631,114,325528.45
yellow_tripdata_2024-03.parquet,3582628,44311,-800.99,438,44,1021.99
yellow_tripdata_2024-07.parquet,3076903,50379,-2265.45,306,104,2265.45
yellow_tripdata_2025-04.parquet,3970553,72608,-1793.37,614,90,1793.37
yellow_tripdata_2024-12.parquet,3668371,70496,-951,606,78,3037.1
yellow_tripdata_2024-04.parquet,3514289,43749,-1018.97,417,51,1737.18
yellow_tripdata_2024-08.parquet,2979183,52940,-1000,397,115,1404.83
yellow_tripdata_2026-02.parquet,3399866,27291,-2088.85,483,66,2088.85
yellow_tripdata_2026-01.parquet,3724889,39984,-2560.2,433,84,2560.2
yellow_tripdata_2025-12.parquet,4305006,48869,-1382.85,621,88,2162.35
yellow_tripdata_2024-11.parquet,3646369,60563,-1477.68,486,59,335550.94
yellow_tripdata_2025-10.parquet,4428699,108735,-801,577,85,1104.59
yellow_tripdata_2024-05.parquet,3723833,48992,-867.69,379,59,334145.3
yellow_tripdata_2026-04.parquet,3800664,14874,-1278.4,531,82,1452.66
yellow_tripdata_2025-01.parquet,3475226,63037,-901,559,79,863380.37
yellow_tripdata_2025-05.parquet,4591845,112544,-1147.17,520,131,1614.29
